Book_name,Book_url,Author,ISBN-10,Year,Pages,Language,Category,Book_description
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Nikita Silaparasetty, 1484259661, 2020, 288, English, Python,"Book Description:        Create, execute, modify, and share machine learning applications with Python and TensorFlow 2.0 in the Jupyter Notebook environment. This book breaks down any barriers to programming machine learning applications through the use of Jupyter Notebook instead of a text editor or a regular IDE."
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Harry J. Foxwell, 148426102X, 2020, 112, English, Datebases,"Book Description:        Create good data from the start, rather than fixing it after it is collected. By following the guidelines in this book, you will be able to conduct more effective analyses and produce timely presentations of research data. Data analysts are often presented with datasets for exploration and study that are poorly designed, leading to difficulties in interpretation and to delays in producing meaningful results. Much data analytics training focuses on how to clean and transform datasets before serious analyses can even be started. Inappropriate or confusing representations, unit of measurement choices, coding errors, missing values, outliers, etc., can be avoided by using good dataset design and by understanding how data types determine the kinds of analyses which can be performed. This book discusses the principles and best practices of dataset creation, and covers basic data types and their related appropriate statistics and visualizations. A key focus of the book is why certain data types are chosen for representing concepts and measurements, in contrast to the typical discussions of how to analyze a specific data type once it has been selected. You will: Be aware of the principles of creating and collecting data Know the basic data types and representations Select data types, anticipating analysis goals Understand dataset structures and practices for analyzing and sharing Be guided by examples and use cases (good and bad) Use cleaning tools and methods to create good data"
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Rahul Sahay, 1484261992, 2020, 792, English, Cloud Computing,"Book Description:        The book starts with an overview of public, private, and hybrid clouds and then goes into configuration of virtual machines. Azure Resource Manager (ARM) and VM encryption are discussed along with Azure Monitor. You will learn how to work with Azure recommendations and analyze your resource configuration. Storage solutions, connecting to networks, and Azure Active Directory are discussed in depth, with examples. You will be able to migrate servers to Azure and demonstrate server-less computing, load balancing, and app services in Azure. You also will learn about Service Fabric, Azure Kubernetes services, and data security in Azure. Cosmos DB and Relational DB are covered and you will know how to connect to cloud databases using SQL Server Management Studio (SSMS). The book presents exercises, practice questions, and Azure architecture best practices."
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Edward Sciore, 148426164X, 2020, 462, English, Oracle,"Book Description:        This book shows developers and Oracle professionals how to build practical, non-trivial web applications using Oracle’s rapid application development environment – Application Express (APEX). This third edition Is revised to cover the new features and user interface experience found in APEX 20. Interactive grids and form regions are two of the newer aspects of APEX covered in this edition. The book is targeted at those who are new to APEX and just beginning to develop real projects for deployment, as well as those who are familiar with APEX and want a deeper understanding. The book takes you through the development of a demo web application that illustrates the concepts all APEX programmers should know."
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Vaibhav Verdhan, 1484261550, 2020, 392, English, Python,"Book Description:        Gain a thorough understanding of supervised learning algorithms by developing use cases with Python. You will study supervised learning concepts, Python code, datasets, best practices, resolution of common issues and pitfalls, and practical knowledge of implementing algorithms for structured as well as text and images datasets. You’ll start with an introduction to machine learning, highlighting the differences between supervised, semi-supervised and unsupervised learning. In the following chapters you’ll study regression and classification problems, mathematics behind them, algorithms like Linear Regression, Logistic Regression, Decision Tree, KNN, Naïve Bayes, and advanced algorithms like Random Forest, SVM, Gradient Boosting and Neural Networks. Python implementation is provided for all the algorithms. You’ll conclude with an end-to-end model development process including deployment and maintenance of the model.After reading Supervised Learning with Python you’ll have a broad understanding of supervised learning and its practical implementation, and be able to run the code and extend it in an innovative manner.  What You’ll Learn   Review the fundamental building blocks and concepts of supervised learning using Python Develop supervised learning solutions for structured data as well as text and images Solve issues around overfitting, feature engineering, data cleansing, and cross-validation for building best fit models Understand the end-to-end model cycle from business problem definition to model deployment and model maintenance Avoid the common pitfalls and adhere to best practices while creating a supervised learning model using Python       Who This Book Is For   Data scientists or data analysts interested in best practices and standards for supervised learning, and using classification algorithms and regression techniques to develop predictive models."
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Engy Fouda, 1484262360, 2020, 226, English, Datebases,"Book Description:        Do you want to create data analysis reports without writing a line of code? This book introduces SAS Studio, a free data science web browser-based product for educational and non-commercial purposes. The power of SAS Studio comes from its visual point-and-click user interface that generates SAS code. It is easier to learn SAS Studio than to learn R and Python to accomplish data cleaning, statistics, and visualization tasks. The book includes a case study about analyzing the data required for predicting the results of presidential elections in the state of Maine for 2016 and 2020. In addition to the presidential elections, the book provides real-life examples including analyzing stocks, oil and gold prices, crime, marketing, and healthcare. You will see data science in action and how easy it is to perform complicated tasks and visualizations in SAS Studio. You will learn, step-by-step, how to do visualizations, including maps. In most cases, you will not need a line of code as you work with the SAS Studio graphical user interface. The book includes explanations of the code that SAS Studio generates automatically. You will learn how to edit this code to perform more complicated advanced tasks. The book introduces you to multiple SAS products such as SAS Viya, SAS Analytics, and SAS Visual Statistics. What You Will Learn  Become familiar with SAS Studio IDE Understand essential visualizations Know the fundamental statistical analysis required in most data science and analytics reports Clean the most common data set problems Use linear progression for data prediction Write programs in SAS Get introduced to SAS-Viya, which is more potent than SAS studio"
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/," Brian Knight, Devin Knight, Manuel Quintana, Mitchell Pearson", 1484260074, 2020, 419, English, C & C++ .NET,"Book Description:        Become a self-sufficient citizen developer by learning the tools within the Microsoft Power Platform and how they can be used together to drive change and multiply your productivity. Learn about PowerApps for building applications, Power Automate for automating business processes across those applications, and Power BI for analyzing results and communicating business intelligence through compelling visuals. By understanding the purpose and capabilities of these tools, you will be able to enhance your organization’s visibility into key areas and make informed business decisions in a timely matter.   This book is divided into four parts and begins in Part I by showing you how to build applications through PowerApps. You will learn about screens and controls, application sharing and administration, and how to make your applications accessible from mobile devices such as phones and tablets. Part II is about creating workflows using Power Automate that implement business logic across your applications. Part III brings in dashboards and data analysis, showing you how to connect to a data source, cleanse the data from that source, and drive decision making through interactive reports and storytelling. Part IV brings together all the pieces by showing the integrations that are possible when all three tools are combined into a single solution.   What You Will Learn     Understand the need for the citizen developer in today’s business environment Organize and plan the building of line-of-business applications with PowerApps solutions Replace wasteful paper processes with automated applications built in PowerApps Automate workflows across processes with Power Automate Communicate analytical results through visualizations and storytelling Integrate PowerApps, Power Automate, and Power BI into solutions that multiply productivity    Who This Book Is For   Power users and analysts with strong Excel skills who need a more comprehensive set of tools that can better help them accomplish their vision on projects, those familiar with one of the Power Platform tools who wish to learn how all three can fit together, and those who are seen as as “rogue IT” problem solvers who get things done when others have tried but failed"
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Scott Norberg, 1484260163, 2020, 416, English, ASP.NET Security,"Book Description:        Incorporate security best practices into ASP.NET Core. This book covers security-related features available within the framework, explains where these feature may fall short, and delves into security topics rarely covered elsewhere. Get ready to dive deep into ASP.NET Core 3.1 source code, clarifying how particular features work and addressing how to fix problems. For straightforward use cases, the ASP.NET Core framework does a good job in preventing certain types of attacks from happening. But for some types of attacks, or situations that are not straightforward, there is very little guidance available on how to safely implement solutions. And worse, there is a lot of bad advice online on how to implement functionality, be it encrypting unsafely hard-coded parameters that need to be generated at runtime, or articles which advocate for certain solutions that are vulnerable to obvious injection attacks. Even more concerning is the functions in ASP.NET Core that are not as secure as they should be by default. Advanced ASP.NET Core 3 Security is designed to train developers to avoid these problems. Unlike the vast majority of security books that are targeted to network administrators, system administrators, or managers, this book is targeted specifically to ASP.NET developers. Author Scott Norberg begins by teaching developers how ASP.NET Core works behind the scenes by going directly into the framework’s source code. Then he talks about how various attacks are performed using the very tools that penetration testers would use to hack into an application. He shows developers how to prevent these attacks. Finally, he covers the concepts developers need to know to do some testing on their own, without the help of a security professional."
Understanding Oracle APEX 20 Application Development,http://www.allitebooks.com/understanding-oracle-apex-20-application-development/, Miguel A. Calles, 1484260996, 2020, 364, English, Security,"Book Description:        Apply the basics of security in serverless computing to new or existing projects. This hands-on guide provides practical examples and fundamentals. You will apply these fundamentals in all aspects of serverless computing: improving the code, securing the application, and protecting the infrastructure. You will come away having security knowledge that enables you to secure a project you are supporting and have technical conversations with cybersecurity personnel. At a time when there are many news stories on cybersecurity breaches, it is crucial to think about security in your applications. It is tempting to believe that having a third-party host the entire computing platform will increase security. This book shows you why cybersecurity is the responsibility of everyone working on the project. What You Will Learn  Gain a deeper understanding of cybersecurity in serverless computing Know how to use free and open source tools (such as the Node Package Manager, ESLint, and VSCode) to reduce vulnerabilities in your application code Assess potential threats from event triggers in your serverless functions Understand security best practices in serverless computing Develop an agnostic security architecture while reducing risk from vendor-specific infrastructure  Who This Book Is For Developers or security engineers looking to expand their current knowledge of traditional cybersecurity into serverless computing projects. Individuals just beginning in serverless computing and cybersecurity can apply the concepts in this book in their projects."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Carey Parker, 1484261887, 2020, 426, English, Security,"Book Description:        Rely on this practical, end-to-end guide on cyber safety and privacy written expressly for a non-technical audience. You will have just what you need to protect yourself—step by step, without judgment, and with as little jargon as possible. Just how secure is your computer right now? You probably don’t know. Computers and the Internet have revolutionized the modern world, but if you are like most people, you have no clue how these things work and don’t know the real threats. Protecting your computer is like defending a medieval castle. While moats, walls, drawbridges, and castle guards can be effective, you would go broke trying to build something dragon-proof. This book is not about protecting yourself from a targeted attack by the NSA; it is about arming yourself against common hackers and mass surveillance. There are dozens of no-brainer things we all should be doing to protect our computers and safeguard our data—just like wearing a seat belt, installing smoke alarms, and putting on sunscreen. Author Carey Parker has structured this book to give you maximum benefit with minimum effort. If you just want to know what to do, every chapter has a complete checklist with step-by-step instructions and pictures. This revised and expanded fourth edition contains more than 170 tips to make you and your family safer. It includes: Updates for Windows 10 (May 2020) and Mac OS 10.15 (Catalina) Updates for iOS 13 and Android 10 Updated recommendations on the best apps, products, and services More than 170 tips with complete step-by-step instructions and pictures A preview of Mac OS 11 Big Sur and iOS 14"
